Municipio;Taxa_de_desemprego_16a_e+
250010 AGUA BRANCA;"4,34"
250020 AGUIAR;"4,24"
250030 ALAGOA GRANDE;"9,62"
250040 ALAGOA NOVA;"6,67"
250050 ALAGOINHA;"6,52"
250053 ALCANTIL;"3,2"
250057 ALGODAO DE JANDAIRA;"6,96"
250060 ALHANDRA;"12,85"
250070 SAO JOAO DO RIO DO PEIXE;"6,74"
250073 AMPARO;"9,83"
250077 APARECIDA;"8,66"
250080 ARACAGI;"5,32"
250090 ARARA;"4,2"
250100 ARARUNA;"5,88"
250110 AREIA;"6,66"
250115 AREIA DE BARAUNAS;"6,21"
250120 AREIAL;"5,49"
250130 AROEIRAS;"5,78"
250135 ASSUNCAO;"7,72"
250140 BAIA DA TRAICAO;"9,38"
250150 BANANEIRAS;"6,16"
250153 BARAUNA;"6,83"
250157 BARRA DE SANTANA;"5,57"
250160 BARRA DE SANTA ROSA;"4,73"
250170 BARRA DE SAO MIGUEL;"0,8"
250180 BAYEUX;"11,71"
250190 BELEM;"8,2"
250200 BELEM DO BREJO DO CRUZ;"8,73"
250205 BERNARDINO BATISTA;"5,43"
250210 BOA VENTURA;"7,08"
250215 BOA VISTA;"5,16"
250220 BOM JESUS;"12,85"
250230 BOM SUCESSO;"4,46"
250240 BONITO DE SANTA FE;"4,17"
250250 BOQUEIRAO;"5,83"
250260 IGARACY;"5,56"
250270 BORBOREMA;"5,69"
250280 BREJO DO CRUZ;"6,94"
250290 BREJO DOS SANTOS;"19,79"
250300 CAAPORA;"12,24"
250310 CABACEIRAS;7
250320 CABEDELO;"11,46"
250330 CACHOEIRA DOS INDIOS;"8,61"
250340 CACIMBA DE AREIA;"3,73"
250350 CACIMBA DE DENTRO;"6,89"
250355 CACIMBAS;"7,9"
250360 CAICARA;"7,9"
250370 CAJAZEIRAS;"6,28"
250375 CAJAZEIRINHAS;"1,62"
250380 CALDAS BRANDAO;"9,18"
250390 CAMALAU;"6,18"
250400 CAMPINA GRANDE;"10,7"
250403 CAPIM;"21,23"
250407 CARAUBAS;"2,52"
250410 CARRAPATEIRA;"1,91"
250415 CASSERENGUE;"2,75"
